"YearAdmitted","ObservedEvents","CrudeRate","AgeAdjustedRatePer10K","LowerCL","UpperCL"
2016,2241,36.0853,36.0274,34.5133,37.5961
2017,2805,44.7856,44.4984,42.8251,46.2254
2018,1874,29.645,28.9471,27.6195,30.3271
