DATE,CDC20N2U018097
1999-01-01,489.6
2000-01-01,462.8
2001-01-01,460.1
2002-01-01,441.9
2003-01-01,440.8
2004-01-01,436.9
2005-01-01,440.4
2006-01-01,445.1
2007-01-01,417.9
2008-01-01,446.8
2009-01-01,435.8
2010-01-01,427.3
2011-01-01,431.7
2012-01-01,450.6
2013-01-01,453.8
2014-01-01,462.2
2015-01-01,478.5
2016-01-01,497.3
2017-01-01,510.2
2018-01-01,500.8
2019-01-01,497.8
2020-01-01,633.9
