"Year","ObservedEvents","CrudeRate","AgeAdjustedRatePer10K","AgeAdjustedLowerCL","AgeAdjustedUpperCL"
2018,5943,61.95,63.08,61.46,64.73
2019,6493,67.37,68.24,66.56,69.95
2020,4102,42,42.42,41.11,43.76
2021,4582,47.18,47.73,46.34,49.15
2022,5401,55.17,56.01,54.51,57.55
2023,3069,31.41,31.62,30.49,32.77
