DATE,CDC20N2UAA018097
1999-01-01,533.4
2000-01-01,506.4
2001-01-01,502.8
2002-01-01,480.6
2003-01-01,474.9
2004-01-01,467.5
2005-01-01,469.3
2006-01-01,468.8
2007-01-01,437.5
2008-01-01,462.7
2009-01-01,446.4
2010-01-01,434.2
2011-01-01,431.8
2012-01-01,446.2
2013-01-01,440.2
2014-01-01,443.8
2015-01-01,454.1
2016-01-01,467.2
2017-01-01,470.5
2018-01-01,458.2
2019-01-01,452.7
2020-01-01,575.4
