"YearAdmitted","ObservedEvents","CrudeRate","AgeAdjustedRatePer10K","LowerCL","UpperCL"
2016,705,7.452,7.6709,7.1086,8.2691
2017,697,7.3272,7.4414,6.8933,8.0247
2018,621,6.473,6.6104,6.0954,7.1602
