"Year","ObservedEvents","CrudeRate","AgeAdjustedRatePer10K","AgeAdjustedLowerCL","AgeAdjustedUpperCL"
2018,8550,135.3,133.1,130.3,136.1
2019,9022,141.8,138.8,135.9,141.8
2020,5737,89.14,86.54,84.25,88.88
2021,5051,78.84,76.24,74.1,78.44
2022,5579,86.38,83.6,81.36,85.9
2023,3127,48.52,46.47,44.81,48.18
