DATE,	CDC20N2UAA042063
1999-01-01,	401.7
2000-01-01,	353.2
2001-01-01,	364.6
2002-01-01,	426.6
2003-01-01,	366.8
2004-01-01,	339.9
2005-01-01,	328.5
2006-01-01,	329.7
2007-01-01,	298.5
2008-01-01,	330.9
2009-01-01,	352.6
2010-01-01,	338.3
2011-01-01,	330.2
2012-01-01,	347.4
2013-01-01,	337.9
2014-01-01,	337.6
2015-01-01,	361.7
2016-01-01,	389.3
2017-01-01,	382.8
2018-01-01,	346.0
2019-01-01,	361.3
2020-01-01,	440.6
